         8	    0.000000668
        16	    0.000000715
        32	    0.000000777
        64	    0.000000825
       128	    0.000000830
       256	    0.000000844
       512	    0.000000899
      1024	    0.000001037
      2048	    0.000001256
      4096	    0.000001736
      8192	    0.000004082
     16384	    0.000004141
     32768	    0.000006945
     65536	    0.000011699
    131072	    0.000024292
    262144	    0.000046029
    524288	    0.000089021
   1048576	    0.000175912
   2097152	    0.000350516
   4194304	    0.000701883
   8388608	    0.001401408
  16777216	    0.002795033
  33554432	    0.005717909
  67108864	    0.011715403
 134217728	    0.023709557
 268435456	    0.047754450
 536870912	    0.095813894
1073741824	    0.191978509
